Timestamp,Resort Name,Resort Url,Longitude,Latitude,Description,Description Name (e.g. Wikipedia),Description Url,"Epic Pass, Max Pass, or Powder Alliance"
1/5/2018 0:30:56,Mount Pakenham,http://www.mountpakenham.com/,45.323174,-76.330865,"Mount Pakenham is a ski hill to the south-west of Ottawa, Ontario, Canada, near the town of Pakenham.",Wikipedia,https://en.wikipedia.org/wiki/Mount_Pakenham,
1/5/2018 0:34:49,Camp Fortune,https://campfortune.com/en/,45.509061,-75.851212,"Camp Fortune is a commercial alpine ski centre. It is located in the municipality of Chelsea in the Gatineau Hills north of Gatineau, Quebec, approximately 15 minutes from Downtown Ottawa, Ontario.",Wikipedia,https://en.wikipedia.org/wiki/Camp_Fortune,
1/5/2018 0:39:51,Mont Cascades,https://montcascades.ca/ski/,45.592789,-75.848939,"Mont Cascades is a family ski center in the National Capital Region. It is geared towards all levels of skiers and snowboarders. The resort is comprised of 20 runs (15 of which offer night skiing), 60 acres of skiable terrain and 95% snowmaking coverage on its terrain.",onthesnow.ca,https://www.onthesnow.ca/quebec/mont-cascades/ski-resort.html,
1/5/2018 0:42:48,Ski Vorlage,https://www.skivorlage.com/e/welcome_e.shtml,45.644747,-75.934788,"Vorlage is a ski hill located at the village of Wakefield, within the municipality of La Pêche, Quebec, in the Gatineau Hills north of Ottawa, Ontario. It consists of 17 runs, 13 of which have night skiing. It was opened in 1941 and has a terrain park.",Wikipedia,https://en.wikipedia.org/wiki/Vorlage_(ski_hill),
1/5/2018 0:44:48,Sommet Edelweiss,https://www.sommets.com/en/ski-mountains/sommet-edelweiss/,45.646969,-75.850645,"Sommet Edelweiss is a ski area located in Wakefield, Quebec, 30 minutes north of Ottawa, Ontario, Canada, in the Gatineau Hills.",Wikipedia,https://en.wikipedia.org/wiki/Sommet_Edelweiss,
1/5/2018 0:47:31,Mont Ste. Marie,https://montstemarie.com/en/,45.941087,-75.87448,"Mont Ste. Marie is a privately owned ski resort 1 hour north of Ottawa in Lac-Sainte-Marie, Quebec, Canada. Between 1997 and 2002, Mont Ste. Marie was owned by Intrawest, a real estate development corporation, known for such places as Mont Tremblant, Quebec, and Whistler-Blackcomb, B.C.",Wikipedia,https://en.wikipedia.org/wiki/Mont_Ste._Marie,
1/5/2018 0:50:27,Ski Mont Rigaud,https://ski.montrigaud.com/,45.468304,-74.339161,"Ski Mont Rigaud is an alpine ski facility on the slopes of Rigaud Mountain, in the municipality of Rigaud, Quebec.",Wikipedia,https://en.wikipedia.org/wiki/Ski_Mont_Rigaud,
1/5/2018 0:54:07,Mont Tremblant,https://www.tremblant.ca/,46.220364,-74.552879,"Mont Tremblant Ski Resort (commonly referred to as Tremblant) is a year-round resort in the Laurentian Mountains of Quebec, Canada, located about 130 km (80 mi) northwest of Montreal. It is best known as a ski destination, but also features Lake Tremblant suitable for swimming and two golf courses in the summer months.",Wikipedia,https://en.wikipedia.org/wiki/Mont_Tremblant_Resort,
1/5/2018 1:00:36,Sommet Saint-Sauveur,https://www.sommets.com/fr/montagne-de-ski/sommet-saint-sauveur/,45.885004,-74.151707,"Sommet Saint-Sauveur (French pronunciation: ​[mɔ̃ sɛ̃ sovœʁ]) (previously Mont Saint-Sauveur) is a ski mountain and resort located in Saint-Sauveur, Quebec, 45 minutes north of Montreal, Canada, in the Laurentian mountains.",Wikipedia,https://en.wikipedia.org/wiki/Mont_Saint-Sauveur,
1/5/2018 1:02:52,Calabogie Peaks,http://www.calabogie.com/,45.274921,-76.781423,"Calabogie Peaks is a ski resort in the municipality of Greater Madawaksa, Renfrew County in Eastern Ontario, Canada. It is located 80 kilometres (50 mi) west of Ottawa, and was founded in 1969.",Wikipedia,https://en.wikipedia.org/wiki/Calabogie_Peaks,
